"Key","SourceKind","CallCount","TemplateCount","ExampleUses","Status"
"AOOS","nano-only","1","1","303084 Sleeping Nightmare (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"AORG","item","1","1","236138 Achromic Ring (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AOSU","item","3","3","206066 Soul Siphon (OnUse, requested QL 1) | 265478 Mineral Sample (OnUseItemOn, requested QL 1) | 267399 Piece of Litter (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"APSZ","item","2","2","239760 Box of Nanocrystals (OnUse, requested QL 300) | 239761 Box of Nanocrystals (OnUse, requested QL 1)","No capture and no unique client-data inference"
"APTN","item","1","1","284433 Alpha Tuning Unit - Inactive (OnUse, requested QL 1)","No capture and no unique client-data inference"
"ARMO","item","190","109","163959 Lootgiver Type 1 (OnWear, requested QL 1) | 163960 Lootgiver Type 1 (OnWear, requested QL 400) | 163961 Lootgiver Type 2 (OnWear, requested QL 1)","No capture and no unique client-data inference"
"AROS","nano-only","1","1","303086 Sleeping Nightmare (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"ASOF","nano-only","1","1","154983 Creation: Asp of Semol (OnUse, requested QL 116)","No capture and no unique client-data inference"
"AUTN","item","1","1","270412 Gift Wrapped Top Assortment (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AVPI","item","1","1","275378 Anniversary Gift (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AXBV","item","1","1","268696 Gift Wrapped Boxing Gloves (OnUse, requested QL 1)","No capture and no unique client-data inference"
"AZCO","nano-only","1","1","154981 Creation: Azure Cobra of Orma (OnUse, requested QL 198)","No capture and no unique client-data inference"
"AZKD","item","1","1","289644 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 160)","No capture and no unique client-data inference"
"B0I3","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"B579","item","1","1","305232 Box of Things and Garbage (OnUse, requested QL 100)","No capture and no unique client-data inference"
"B8Y5","item","99","1","305226 Box of Things and Garbage (OnUse, requested QL 66) | 305226 Box of Things and Garbage (OnUse, requested QL 67) | 305226 Box of Things and Garbage (OnUse, requested QL 68)","No capture and no unique client-data inference"
"BAAL","item","3","3","273043 TESTLIVEITEM: StarterPack (OnUse, requested QL 1) | 300528 Sealed Bazzit's Alien Library (OnUse, requested QL 1) | 303378 Sealed Bazzit's Alien Library (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BABT","item","1","1","270406 Gift Wrapped Footwear Assortment (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BAOD","item","1","1","305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BATG","item","1","1","290256 Red Thong (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BATT","item","1","1","270411 Gift Wrapped Tattoo Assortment (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BAWG","item","1","1","289394 Dragon Wings (Replica) (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BAWI","item","1","1","283981 Demon Wings (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BBCL","nano-only","1","1","303084 Sleeping Nightmare (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"BBOG","item","1","1","305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BBOK","item","1","1","297315 Bank of Rubi-Ka Credit Card (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BBSE","item","1","1","270400 Gift Wrapped Bellhop Costume (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BBSH","item","1","1","273044 TESTLIVEITEM: StarterPack (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BCGW","item","1","1","289645 TESTLIVE ITEM: Tier Armor Dispenser (OnUse, requested QL 220)","No capture and no unique client-data inference"
"BCTA","item","1","1","270411 Gift Wrapped Tattoo Assortment (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BCTJ","item","2","2","289606 TESTLIVE ITEM: OFAB Armor Dispenser (OnUse, requested QL 1) | 289607 TESTLIVE ITEM: OFAB Armor Dispenser (OnUse, requested QL 300)","No capture and no unique client-data inference"
"BCWH","item","1","1","289572 Gift Wrapped Mittens (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BDPC","item","1","1","281788 Birthday Placard - Coming Soon (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BEDR","item","2","2","270415 Gift Wrapped Cloak Assortment #3 (OnUse, requested QL 1) | 270416 Gift Wrapped Cloak Assortment #3 (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BEFL","nano-only","1","1","154968 Creation: Belthior's Flame Ward (OnUse, requested QL 144)","No capture and no unique client-data inference"
"BEHA","item","1","1","270369 Gift Wrapped Belly Dancer Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BEHO","item","2","2","270369 Gift Wrapped Belly Dancer Outfit (OnUse, requested QL 1) | 270413 Gift Wrapped Cloak Assortment #1 (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BEJA","item","1","1","270400 Gift Wrapped Bellhop Costume (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BESH","item","2","2","239760 Box of Nanocrystals (OnUse, requested QL 300) | 239761 Box of Nanocrystals (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BFC4","item","2","2","303434 Temple Explorer Pack (OnUse, requested QL 60) | 304567 Temple Explorer Pack (OnUse, requested QL 60)","No capture and no unique client-data inference"
"BFFO","item","1","1","273247 Blue Desert Orchid (OnUseItemOn, requested QL 1)","No capture and no unique client-data inference"
"BFOX","item","1","1","206726 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BFOY","item","1","1","303138 Crate of Energy Ammo (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BGLW","item","1","1","288330 Placard - Mentor Looking for Noobs (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BGOA","item","4","1","305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BGOC","item","1","1","206728 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BGOD","item","3","1","305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BGOE","item","1","1","206729 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BGOI","item","3","1","305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1) | 305240 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BGOX","item","1","1","206725 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BHHA","item","1","1","151661 Book: How To Make Jewellery (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BHHK","item","1","1","154507 Making Emergency Treatment Labs - A Quick Guide for Doctors (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BIGF","nano-only","1","1","281786 VP Reward (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"BIGO","item","1","1","270386 Gift Wrapped Biker's Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BIJC","item","1","1","270386 Gift Wrapped Biker's Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BIOD","item","1","1","305231 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BISR","nano-only","1","1","154978 Creation: Bitis Striker (OnUse, requested QL 133)","No capture and no unique client-data inference"
"BISV","item","1","1","296574 Biological Survey Nanobots (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"BKBO","item","1","1","270386 Gift Wrapped Biker's Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BKHO","item","1","1","154450 How do I make Stims? A Quick Method (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BKSL","item","1","1","270386 Gift Wrapped Biker's Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BLIC","item","1","1","296575 Blank ICC ID Chip (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"BLPJ","item","1","1","270405 Gift Wrapped Blue Pajamas (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BLSS","item","1","1","270400 Gift Wrapped Bellhop Costume (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BLSV","item","1","1","270369 Gift Wrapped Belly Dancer Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BLTP","item","1","1","270369 Gift Wrapped Belly Dancer Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BMAM","item","1","1","273044 TESTLIVEITEM: StarterPack (OnUse, requested QL 75)","No capture and no unique client-data inference"
"BMAR","item","1","1","273044 TESTLIVEITEM: StarterPack (OnUse, requested QL 75)","No capture and no unique client-data inference"
"BMC5","item","8","8","303435 Biomare Explorer Pack (OnUse, requested QL 100) | 303436 Initial Outzone Explorer Pack (OnUse, requested QL 150) | 303437 Experienced Shadowlands Explorer Pack (OnUse, requested QL 200)","No capture and no unique client-data inference"
"BMGN","nano-only","1","1","296197 A Shirt for You (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BMJA","item","1","1","270381 Gift Wrapped Bomber's Jacket (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BMJC","item","1","1","270381 Gift Wrapped Bomber's Jacket (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BMOE","item","1","1","303139 Crate of Flamethrower Ammo (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BMWN","item","2","2","289606 TESTLIVE ITEM: OFAB Armor Dispenser (OnUse, requested QL 1) | 289607 TESTLIVE ITEM: OFAB Armor Dispenser (OnUse, requested QL 300)","No capture and no unique client-data inference"
"BNOG","item","1","1","305231 Box of Things and Garbage (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BNOR","item","1","1","303140 Crate of Launcher Grenades (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BOBF","item","1","1","270371 Gift Wrapped Bunny Outfit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BOGV","item","1","1","268696 Gift Wrapped Boxing Gloves (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BOHO","item","1","1","150450 Book: How To Create A Nano Crystal (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BOHT","item","1","1","151356 Book: How To Make An Arul Saba Bracelet (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BONF","item","1","1","223773 Bonfire Kit (OnUse, requested QL 1)","No capture and no unique client-data inference"
"BOOC","item","1","1","206727 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BOOX","item","1","1","206724 Bag of Exchange (OnUse, requested QL 100)","No capture and no unique client-data inference"
"BOTN","item","2","1","275481 BOTN Biological Transceiver Dropper Item (OnTerminate, requested QL 1) | 275481 BOTN Biological Transceiver Dropper Item (OnTerminate, requested QL 1)","No capture and no unique client-data inference"
"BOTS","item","1","1","156310 The Secret Revealed - How to create Kamikaze Robots (OnUse, requested QL 1)","No capture and no unique client-data inference"
